,title,price,year,link,style,age
0,> nokia - comes w/ all accessories needed incl. extra battery <,0,,https://charlottesville.craigslist.org/mob/d/charlottesville-nokia-comes-all/7788090327.html,missing,
1,samsung galaxy a11 - t-mobile,75,,https://charlottesville.craigslist.org/mob/d/charlottesville-samsung-galaxy-a11/7783598361.html,missing,
2,iphone 15 pro max 512gb unlocked with sim slot applecare+ included!,1200,,https://charlottesville.craigslist.org/mob/d/charlottesville-iphone-15-pro-max-512gb/7777373194.html,missing,
3,series 9 apple watch,308,,https://charlottesville.craigslist.org/mob/d/orange-series-apple-watch/7783251866.html,missing,
4,samsung galaxy z fold 3 (silver) - gently used,600,,https://charlottesville.craigslist.org/mob/d/charlottesville-samsung-galaxy-fold/7782645934.html,missing,
5,iphone 15 pro max 512gb unlocked with sim slot applecare+ included!,1200,,https://charlottesville.craigslist.org/mob/d/charlottesville-iphone-15-pro-max-512gb/7779847344.html,missing,
6,esr halolock magnetic wireless car charger,10,,https://charlottesville.craigslist.org/mob/d/free-union-esr-halolock-magnetic/7779928622.html,missing,
